Product_General_Name,Product_Detail_Name,Price
Earphones,Pro 4 TWS Earphone Nirkabel Headset Bluetooth 5.0 earphones BT Handset,Rp94.000
Earphones,Handsfree U19 Macaron / Earphone Macaroon Matte Colow Hifi Extra Bass,Rp5.500 - Rp6.250
Earphones,Headset PUREBASS Hi-Res Audio For 3.5mm Jack Earphone Megabass With Mic - JB-11,Rp15.000
Microfibre towels,KAIN LAP MICROFIBER 400GSM 30X40CM KAIN LAP KUNING MOBIL MOTOR SERBAGUNA 2 SISI / OTOMOTIF TOWEL,Rp5.693
Microfibre towels,Lap Pengering Cuci Mobil MEGUIARS Water Magnet Killer VYDEN Drying Towel Twisted Korean Microfiber 600GSM 70 x 90cm,Rp124.900
Microfibre towels,【GOGOMART】Handuk Kain Lap Mobil 2 in 1 Microfiber / Hand Towel Ukuran 30 x 30cm,Rp12.285
Facial Foam,Glow & Lovely Face Moisturizer 50gr + BB Cream 15gr Free GAL Facial Foam 50gr,Rp59.000
Facial Foam,NIVEA Sparkling Bright Whitening Facial Foam - 100 ml,Rp23.300
Facial Foam,Glow & Lovely Facial Wash Multivitamin 100 G - Sabun Cuci Muka Wanita,Rp22.600
Optical Mouse,bonkyo Wireless Optical Mouse Dan Minimalism - MSE6,Rp37.000
Optical Mouse,MOUSE WIRELESS LOG-ON M100 2.4Ghz Optical 1600DPI MOUSE LAPTOP/PC,Rp50.000
Optical Mouse,Mouse Wireless M330 2.5GHz Silent Optical 1600DPI Garansi 1 Tahun,Rp69.000
Gel Pen,Gel Pen GLITTER PASTEL (12 pcs),Rp12.500
Gel Pen,Deli Gel Pen Pulpen Gel Tinta Hitam 0.5mm Desain Unik A118,Rp3.500 - Rp21.000
Gel Pen,Gel Pen GLITTER PASTEL (12 pcs),Rp12.500
Washing Machine Cleaning Powder,Bubuk Pembersih Mesin Cuci - Deep Cleaning Washing Machine Cleaner Powder,Rp7.050
Washing Machine Cleaning Powder,Hairnerds Professional Freestyle Dust Powder - Bubuk Hairnerds Premium,Rp80.000
Washing Machine Cleaning Powder,Allkleen Washing Machine Cleaner 500gram Detergen Pembersih Mesin Cuci Ramah Lingkungan.,Rp48.400
Coloring Shampoo,Cultusia Coloring Shampoo Original Black With Ekstrak Jahe & Minyak Zaitun 160ml,Rp60.000
Coloring Shampoo,L'Oreal Paris Elseve Total Repair 5 Shampoo - 620ml - Hair Care Perawatan Rambut Loreal,Rp73.400
Coloring Shampoo,L'Oreal Paris Extraordinary Oil Premium Shampoo + Conditioner -440ml -Sleek -Perawatan Rambut Loreal,Rp303.600
COFFEE AROMA ,KOPI ARABICA / ROBUSTA 250 gr - AROMA BANDUNG Fresh Asli Bubuk Giling Halus /Medium /Kasar /Biji,Rp28.500 - Rp43.000
COFFEE AROMA ,Kopi Espresso Cair 250-500ml Variasi Arabika Robusta Houseblend Aroma wangi untuk Kopi Susu Amerikano Bandung Jawa Barat,Rp18.000 - Rp36.000
COFFEE AROMA ,KOPI AROMA 500 GR - ARABICA / ROBUSTA - Fresh Asli - BUBUK HALUS / MEDIUM / KASAR / BIJI KOPI,Rp59.000 - Rp85.000
Kitchen Floor Mat,2 in 1 Kitchen Floor Mat / Keset Alas Lantai Kamar Tidur Rumah Dapur Anti Selip,Rp67.000
Kitchen Floor Mat,2in1 KESET KAKI DAPUR ALAS KAKI LANTAI KAMAR MANDI 2in1 KITCHEN FLOOR MAT KESET KAKI KAMAR ANTI SELIP ANTI AIR MERESAP,Rp67.000 - Rp79.000
Kitchen Floor Mat,Keset Dapur 2in1 Kitchen Floor Mat Lembut Anti Slip Kamar Mandi Kamar TIdur Premium Alas Lantai,Rp24.000 - Rp110.000
Brown Sugar,Brown Sugar 1Kg / Bubuk Brown Sugar 1Kg / Brown Sugar Original tanpa campuran,Rp45.500
Brown Sugar,Brown Sugar Bubuk Ansell / Gula Merah / Coconut Sugar / Nira Kelapa / Palm Sugar / Gula Kelapa 250g,Rp19.000
Brown Sugar,Bubuk Gula Aren Organik 1kg - Brown Sugar Kristal murni - Bandar Powder,Rp35.000
Baby Cream Diaper,CUSSONS BABY Cream Krim Bayi FRESH / GENTLE / NEWBORN / SOFT 1pc 50gr,Rp16.500 - Rp17.700
Baby Cream Diaper,Cussons Baby Cream Diaper Rash - Krim Bayi Anti Ruam Popok 50gr X2,Rp33.800
Baby Cream Diaper,PUREBABY PUREKIDS PURE BABY KIDS RASH CREAM KRIM BAYI ANAK RUAM IRITASI POPOK GATAL BIANG KERINGAT,Rp50.820 - Rp101.640
